City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-01-25,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,3.37,6.98,2.94,333.0,Very Poor
Delhi,2015-01-26,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,3.0,5.87,2.51,292.0,Poor
Delhi,2015-01-27,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,3.31,6.31,3.07,318.0,Very Poor
Delhi,2015-01-28,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,3.27,6.86,2.63,295.0,Poor
Delhi,2015-01-29,173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,4.02,9.84,3.42,327.0,Very Poor
Delhi,2015-01-30,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,3.65,6.61,3.35,345.0,Very Poor
Delhi,2015-01-31,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,4.36,8.98,2.54,334.0,Very Poor
Delhi,2015-02-01,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0,Very Poor
Delhi,2015-02-02,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0,Very Poor
Delhi,2015-02-03,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0,Very Poor
Delhi,2015-02-04,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,3.04,6.31,2.79,313.0,Very Poor
Delhi,2015-02-05,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,3.33,262.0,Poor
Delhi,2015-02-06,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,9.46,19.7,9.77,303.0,Very Poor
Delhi,2015-02-07,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,5.5,14.95,6.68,329.0,Very Poor
Delhi,2015-02-08,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,2.42,6.5,0.57,323.0,Very Poor
Delhi,2015-02-09,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,2.59,3.17,1.24,266.0,Poor
Delhi,2015-02-10,153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,5.58,7.1,7.93,319.0,Very Poor
Delhi,2015-02-11,116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,5.96,5.59,10.72,334.0,Very Poor
Delhi,2015-02-12,177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,3.5,7.38,10.65,342.0,Very Poor
Delhi,2015-02-13,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,11.45,341.0,Very Poor
Delhi,2015-02-14,193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,9.01,17.88,14.17,377.0,Very Poor
Delhi,2015-02-15,184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,4.79,8.98,12.44,391.0,Very Poor
Delhi,2015-02-16,152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,3.49,358.0,Very Poor
Delhi,2015-02-17,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,3.04,5.62,3.78,327.0,Very Poor
Delhi,2015-02-18,188.2,253.53,69.2,60.29,104.31,79.83,16.23,8.65,36.54,8.34,16.27,4.38,365.0,Very Poor
Delhi,2015-02-19,159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,3.11,6.12,3.49,352.0,Very Poor
Delhi,2015-02-20,144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,2.35,6.76,4.07,317.0,Very Poor
Delhi,2015-02-21,155.38,191.03,35.51,45.11,57.91,69.59,14.21,12.24,30.11,4.69,16.48,9.41,320.0,Very Poor
Delhi,2015-02-22,124.1,107.61,15.38,31.83,32.15,70.25,9.73,5.68,27.19,0.88,3.13,1.44,279.0,Poor
Delhi,2015-02-23,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,2.02,11.23,10.87,281.0,Poor
Delhi,2015-02-24,170.16,238.33,36.04,48.4,60.78,34.14,14.17,9.28,37.39,4.28,22.47,17.65,354.0,Very Poor
Delhi,2015-02-25,148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,2.06,6.92,1.75,340.0,Very Poor
Delhi,2015-02-26,140.78,171.64,11.34,20.95,26.65,23.22,13.61,6.98,28.72,1.81,6.96,3.64,323.0,Very Poor
Delhi,2015-02-27,130.42,163.67,13.85,24.75,31.46,22.36,12.78,12.12,34.08,2.14,8.56,4.34,315.0,Very Poor
Delhi,2015-02-28,105.86,169.28,9.21,20.65,25.3,16.49,11.8,12.48,41.38,1.97,7.83,1.25,310.0,Very Poor
Delhi,2015-03-01,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0,Very Poor
Delhi,2015-03-02,53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,0.91,3.45,0.69,226.0,Poor
Delhi,2015-03-03,83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,2.13,8.11,2.41,266.0,Poor
Delhi,2015-03-04,91.07,139.15,13.71,24.28,28.73,17.44,10.64,4.68,25.83,1.6,8.05,6.62,200.0,Moderate
Delhi,2015-03-05,106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,3.27,15.12,10.65,275.0,Poor
Delhi,2015-03-06,101.75,163.14,20.56,26.59,34.17,32.04,10.55,5.96,33.67,2.45,9.31,7.14,322.0,Very Poor
Delhi,2015-03-07,77.57,90.54,12.07,19.15,24.66,16.83,9.48,5.18,23.09,1.68,6.31,1.25,216.0,Poor
Delhi,2015-03-08,63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,1.69,6.09,1.35,108.0,Moderate
Delhi,2015-03-09,76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,1.12,4.32,1.97,197.0,Moderate
Delhi,2015-03-10,86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,1.51,5.62,4.8,238.0,Poor
Delhi,2015-03-11,104.29,176.2,14.94,25.63,32.66,29.48,10.76,6.3,29.62,2.32,7.74,1.91,274.0,Poor
Delhi,2015-03-12,115.93,203.75,18.48,32.29,37.84,30.72,11.3,7.03,35.05,2.9,12.42,15.16,315.0,Very Poor
Delhi,2015-03-13,108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,3.41,14.88,9.81,307.0,Very Poor
Delhi,2015-03-14,67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,2.42,9.14,0.8,208.0,Poor
Delhi,2015-03-15,38.89,46.68,9.49,17.76,21.45,30.59,8.23,4.25,22.0,1.03,4.45,1.38,165.0,Moderate
Delhi,2015-03-16,45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,1.05,4.83,0.74,188.0,Moderate
Delhi,2015-03-17,55.55,104.33,12.18,20.96,25.28,39.8,10.45,7.19,23.11,1.55,6.39,4.07,217.0,Poor
Delhi,2015-03-18,50.59,95.56,9.32,16.6,21.74,39.16,7.83,3.6,27.5,1.11,4.42,3.67,191.0,Moderate
Delhi,2015-03-19,69.51,136.67,14.05,23.77,30.29,36.77,7.89,4.97,27.07,3.23,8.67,7.55,240.0,Poor
Delhi,2015-03-20,96.62,168.0,19.15,29.04,37.12,35.07,9.59,6.66,29.01,5.67,17.61,22.01,229.0,Poor
Delhi,2015-03-21,96.28,172.91,20.18,29.21,37.78,32.01,8.82,7.31,25.97,7.79,16.65,17.47,248.0,Poor
Delhi,2015-03-22,72.2,122.12,9.39,20.27,23.15,32.52,8.5,4.4,25.48,2.67,6.07,5.96,204.0,Poor
Delhi,2015-03-23,78.47,131.42,12.57,23.04,28.5,32.13,8.6,4.07,27.1,5.45,13.55,10.98,271.0,Poor
Delhi,2015-03-24,91.87,179.36,21.3,30.01,40.31,31.79,10.1,7.35,34.78,9.72,16.21,15.64,290.0,Poor
Delhi,2015-03-25,107.26,201.08,21.52,33.82,42.98,27.92,11.69,11.82,45.78,4.93,11.03,9.98,340.0,Very Poor
Delhi,2015-03-26,109.78,217.9,24.1,33.02,44.26,28.0,12.67,9.3,40.0,6.64,10.31,2.53,358.0,Very Poor
Delhi,2015-03-27,62.27,117.81,12.01,24.76,27.71,27.34,9.29,10.91,31.08,4.14,4.26,2.0,287.0,Poor
Delhi,2015-03-28,102.22,212.96,22.14,29.41,40.44,32.82,10.47,17.16,40.23,3.87,9.33,2.54,323.0,Very Poor
Delhi,2015-03-29,104.36,202.01,23.55,33.86,43.2,37.35,14.42,16.92,32.84,3.96,9.87,2.51,360.0,Very Poor
Delhi,2015-03-30,44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,1.45,3.4,1.53,268.0,Poor
Delhi,2015-03-31,55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,2.01,4.89,1.8,283.0,Poor
Delhi,2015-04-01,112.86,167.6,24.6,32.71,45.12,36.05,10.15,19.48,38.45,4.04,9.07,2.42,309.0,Very Poor
Delhi,2015-04-02,78.51,112.78,9.82,20.54,27.51,31.04,6.72,14.37,35.54,2.17,4.2,2.32,249.0,Poor
Delhi,2015-04-03,66.52,76.05,11.21,18.47,27.79,35.48,8.24,10.62,24.85,2.32,5.02,3.05,245.0,Poor
Delhi,2015-04-04,62.56,86.11,10.66,24.96,30.36,28.46,5.52,12.94,27.98,2.39,6.04,2.45,229.0,Poor
Delhi,2015-04-05,78.61,145.1,13.0,27.75,39.45,32.3,7.97,16.72,40.79,3.3,8.08,2.19,234.0,Poor
Delhi,2015-04-06,119.7,195.47,34.3,32.83,59.96,44.66,11.01,16.63,30.32,5.7,14.32,2.64,343.0,Very Poor
Delhi,2015-04-07,66.09,95.81,7.57,24.47,30.04,29.78,7.29,8.34,43.23,1.89,4.65,1.89,262.0,Poor
Delhi,2015-04-08,95.34,120.2,11.64,34.72,37.7,24.84,9.28,17.99,61.68,2.72,7.17,2.06,308.0,Very Poor
Delhi,2015-04-09,63.57,148.17,11.33,35.15,41.13,30.04,6.57,10.48,35.18,2.45,6.82,2.1,293.0,Poor
Delhi,2015-04-10,96.56,203.67,17.46,52.77,62.06,30.32,4.63,15.8,59.88,3.47,9.68,2.29,290.0,Poor
Delhi,2015-04-11,131.39,234.65,22.86,59.52,72.68,34.01,5.84,21.5,73.72,4.56,14.16,2.57,375.0,Very Poor
Delhi,2015-04-12,75.35,91.73,9.63,45.3,40.75,28.79,7.73,13.08,49.21,1.98,6.71,1.85,293.0,Poor
Delhi,2015-04-13,86.49,116.62,14.18,50.3,56.07,38.86,3.67,14.99,62.52,2.5,8.84,2.06,247.0,Poor
Delhi,2015-04-14,77.07,132.68,13.41,42.65,50.06,36.68,6.85,14.04,55.44,2.13,7.25,2.0,232.0,Poor
Delhi,2015-04-15,98.79,161.43,18.39,47.41,45.1,34.8,11.65,13.75,31.14,2.4,7.07,2.16,316.0,Very Poor
Delhi,2015-04-16,81.81,164.56,18.2,44.06,58.92,37.84,5.94,21.44,59.29,2.64,10.67,2.37,295.0,Poor
Delhi,2015-04-17,65.78,180.67,18.75,40.09,55.98,30.04,7.38,14.34,54.47,3.23,10.23,3.16,246.0,Poor
Delhi,2015-04-18,119.82,268.65,26.27,51.11,66.92,28.99,8.21,17.21,65.72,4.32,13.89,4.52,378.0,Very Poor
Delhi,2015-04-19,125.53,308.82,32.69,64.73,87.58,34.39,8.84,18.02,65.08,4.88,17.48,4.88,406.0,Severe
Delhi,2015-04-20,121.51,336.63,18.14,60.41,68.41,33.63,6.75,20.98,87.04,3.08,10.2,4.6,392.0,Very Poor
Delhi,2015-04-21,114.5,327.81,23.52,50.7,63.45,30.3,6.84,19.38,74.49,4.22,13.04,4.27,391.0,Very Poor
Delhi,2015-04-22,101.83,279.41,26.26,55.27,72.67,24.36,7.36,19.29,69.41,4.74,14.52,3.72,368.0,Very Poor
Delhi,2015-04-23,118.57,273.68,33.93,76.46,96.19,29.32,6.58,21.81,76.14,5.0,18.21,4.45,365.0,Very Poor
Delhi,2015-04-24,143.22,313.53,42.58,88.61,108.55,36.5,6.42,26.89,89.42,5.63,22.15,4.61,383.0,Very Poor
Delhi,2015-04-25,106.76,318.88,22.5,58.87,71.34,37.0,6.75,17.56,93.54,3.15,12.73,3.99,367.0,Very Poor
Delhi,2015-04-26,65.36,160.3,13.17,31.23,38.68,32.83,8.44,12.67,77.43,1.9,6.65,2.72,334.0,Very Poor
Delhi,2015-04-27,67.08,174.5,13.18,35.54,44.09,32.27,4.76,11.92,70.74,1.86,6.09,2.97,258.0,Poor
Delhi,2015-04-28,81.37,141.25,11.98,34.88,43.91,29.46,4.67,13.97,70.42,1.66,6.08,2.79,234.0,Poor
Delhi,2015-04-29,63.76,131.56,12.09,42.98,51.34,29.93,7.16,13.98,61.86,1.94,7.31,2.68,257.0,Poor
Delhi,2015-04-30,60.56,171.42,12.0,43.9,48.72,29.08,7.33,12.85,60.18,2.03,6.47,2.71,259.0,Poor
Delhi,2015-05-01,76.1,192.81,13.14,42.99,52.01,26.55,7.63,13.1,53.16,2.02,9.5,2.21,279.0,Poor
Delhi,2015-05-02,72.66,206.1,25.56,62.09,76.22,26.99,9.46,16.16,43.06,3.47,15.83,,312.0,Very Poor
Delhi,2015-05-03,121.94,334.02,52.12,83.3,100.84,35.46,11.95,19.43,41.71,6.62,32.11,,372.0,Very Poor
Delhi,2015-05-04,108.98,326.71,52.0,85.5,112.64,31.33,8.08,17.53,37.7,6.19,26.87,,387.0,Very Poor
Delhi,2015-05-05,145.99,366.85,75.13,107.85,150.76,35.82,6.65,26.0,50.27,7.43,35.57,,408.0,Severe
Delhi,2015-05-06,171.33,346.98,53.42,87.88,122.67,39.27,7.1,25.26,92.66,5.92,28.97,,398.0,Very Poor
Delhi,2015-05-07,117.76,343.12,19.74,63.18,73.07,35.52,9.64,24.63,75.6,3.99,12.65,,403.0,Severe
Delhi,2015-05-08,90.66,305.38,25.55,56.54,73.9,30.52,6.65,20.79,74.84,3.96,8.6,,361.0,Very Poor
Delhi,2015-05-09,106.4,285.38,43.33,63.57,96.25,34.25,9.35,18.15,76.38,4.09,11.93,,378.0,Very Poor
Delhi,2015-05-10,101.21,283.47,20.83,57.51,65.08,31.32,10.6,16.92,67.97,3.3,10.36,,381.0,Very Poor
Delhi,2015-05-11,97.57,336.82,11.91,42.7,48.43,36.11,8.79,15.11,87.93,2.21,5.94,,388.0,Very Poor
Delhi,2015-05-12,96.34,293.26,11.54,43.04,48.09,52.21,6.27,10.84,83.43,1.74,5.4,,346.0,Very Poor
Delhi,2015-05-13,83.42,174.52,10.5,48.61,45.79,56.95,8.14,9.08,55.62,2.29,7.15,,328.0,Very Poor
Delhi,2015-05-14,78.06,196.08,16.38,42.22,53.26,47.74,7.24,10.42,57.1,2.49,7.56,,291.0,Poor
Delhi,2015-05-15,97.87,240.34,27.46,63.55,81.14,44.08,10.81,15.02,77.87,3.2,11.05,,396.0,Very Poor
Delhi,2015-05-16,77.52,186.28,24.05,75.5,91.36,41.94,6.17,15.03,73.24,2.16,5.81,,297.0,Poor
Delhi,2015-05-17,97.16,188.39,15.83,57.63,65.15,43.23,8.4,20.15,70.29,1.68,4.74,,345.0,Very Poor
Delhi,2015-05-18,66.85,172.35,9.2,47.64,55.88,40.95,7.46,15.04,79.02,1.69,3.99,,296.0,Poor
Delhi,2015-05-19,89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,1.82,5.59,,319.0,Very Poor
Delhi,2015-05-20,67.41,176.25,21.7,52.69,60.6,42.24,6.11,20.3,57.17,2.01,4.94,,282.0,Poor
Delhi,2015-05-21,75.54,335.13,27.16,53.03,63.55,56.95,8.25,14.85,42.61,2.16,5.19,,352.0,Very Poor
Delhi,2015-05-22,67.91,235.99,34.97,56.84,77.1,45.91,8.32,14.77,64.34,1.8,3.94,,338.0,Very Poor
Delhi,2015-05-23,69.02,313.73,38.94,52.79,75.32,36.5,7.06,10.73,66.63,1.52,3.62,,321.0,Very Poor
Delhi,2015-05-24,79.1,251.52,32.09,56.29,69.04,37.22,8.56,18.96,60.08,7.08,7.12,,295.0,Poor
Delhi,2015-05-25,117.27,340.66,51.72,60.65,102.66,40.26,7.66,11.78,95.72,1.69,5.27,,344.0,Very Poor
Delhi,2015-05-26,96.09,311.08,24.98,51.77,70.51,33.51,5.25,9.9,79.4,1.59,3.57,,337.0,Very Poor
Delhi,2015-05-27,84.71,231.35,42.01,70.43,91.54,29.05,8.54,17.48,80.71,2.44,5.37,,355.0,Very Poor
Delhi,2015-05-28,182.76,436.17,54.87,72.67,100.54,35.74,6.89,14.33,83.33,2.5,6.62,,371.0,Very Poor
Delhi,2015-05-29,106.61,275.6,37.21,64.94,87.55,41.74,8.48,12.9,76.1,1.94,5.71,,414.0,Severe
Delhi,2015-05-30,92.68,239.12,47.05,65.26,103.71,40.66,7.59,17.68,69.95,2.59,7.66,,366.0,Very Poor
Delhi,2015-05-31,73.62,236.8,19.04,41.86,52.3,36.27,7.12,13.08,87.47,1.66,3.31,,346.0,Very Poor
Delhi,2015-06-01,49.42,175.39,15.74,48.55,61.72,35.12,5.03,9.96,72.89,1.26,3.71,,289.0,Poor
Delhi,2015-06-02,52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,1.51,3.98,,297.0,Poor
Delhi,2015-06-03,65.28,137.7,24.46,65.25,91.72,54.47,4.98,6.31,41.92,1.8,5.8,,268.0,Poor
Delhi,2015-06-04,85.45,170.55,15.02,62.38,71.04,57.58,3.83,5.53,63.0,3.19,8.0,,259.0,Poor
Delhi,2015-06-05,83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,2.6,7.32,,327.0,Very Poor
Delhi,2015-06-06,44.54,119.29,11.64,46.37,46.37,71.88,11.94,7.37,37.09,2.38,6.02,,384.0,Very Poor
Delhi,2015-06-07,85.03,186.2,25.76,77.07,91.29,46.57,3.51,9.53,88.63,2.43,6.95,,299.0,Poor
Delhi,2015-06-08,137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,2.82,9.42,,282.0,Poor
Delhi,2015-06-09,136.05,393.7,45.61,76.88,83.43,46.56,1.38,8.84,58.0,2.75,6.91,,442.0,Severe
Delhi,2015-06-10,63.77,166.31,12.93,31.27,34.21,43.33,2.58,5.91,56.84,1.83,3.83,,309.0,Very Poor
Delhi,2015-06-11,115.57,259.73,4.41,32.99,26.63,35.31,1.24,6.02,138.5,1.52,3.79,,270.0,Poor
Delhi,2015-06-12,83.29,180.06,14.51,36.36,37.13,40.11,1.19,5.52,68.6,1.86,4.5,,239.0,Poor
Delhi,2015-06-13,73.7,158.24,24.38,52.9,64.56,41.36,1.36,5.34,53.02,1.71,5.25,,214.0,Poor
Delhi,2015-06-14,74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,,166.0,Moderate
Delhi,2015-06-15,106.11,206.42,17.76,72.79,73.34,60.68,1.62,6.3,86.86,2.8,8.15,,234.0,Poor
Delhi,2015-06-16,132.21,282.05,45.43,81.57,109.14,59.1,1.73,6.16,82.42,4.07,13.65,,331.0,Very Poor
Delhi,2015-06-17,123.56,271.79,32.84,70.96,82.45,55.88,1.57,6.95,74.01,3.18,8.21,,327.0,Very Poor
Delhi,2015-06-18,132.21,268.84,34.59,94.25,108.25,59.55,1.82,9.31,87.24,3.87,10.16,,313.0,Very Poor
Delhi,2015-06-19,110.65,216.46,10.75,65.21,61.04,55.65,1.38,7.8,76.58,2.17,5.76,,284.0,Poor
Delhi,2015-06-20,80.31,160.22,5.92,52.7,45.57,48.06,1.29,10.22,69.37,1.17,4.34,,239.0,Poor
Delhi,2015-06-21,59.73,82.7,7.05,50.78,40.03,66.21,1.59,6.11,52.78,1.08,4.73,,149.0,Moderate
Delhi,2015-06-22,85.4,139.2,10.93,58.88,56.1,50.28,1.34,6.18,59.49,1.66,7.01,,172.0,Moderate
Delhi,2015-06-23,101.99,152.18,18.2,61.18,67.45,51.94,1.41,7.9,77.04,2.42,7.98,,226.0,Poor
Delhi,2015-06-24,126.07,214.45,14.98,60.31,86.44,62.47,1.37,8.09,83.13,2.45,7.86,,261.0,Poor
Delhi,2015-06-25,37.59,62.38,17.17,44.72,104.26,50.86,1.25,7.67,46.7,1.69,5.27,,188.0,Moderate
Delhi,2015-06-26,76.0,182.48,32.6,46.88,101.06,45.56,1.04,6.84,60.99,2.08,6.36,,192.0,Moderate
Delhi,2015-06-27,69.46,195.2,19.12,38.55,69.98,42.36,1.01,7.28,53.19,1.39,3.4,,207.0,Poor
Delhi,2015-06-28,79.84,214.78,20.29,47.19,92.99,41.99,1.13,7.53,58.34,1.4,3.86,,219.0,Poor
Delhi,2015-06-29,48.5,96.78,5.47,38.37,81.25,43.97,1.07,7.74,52.21,0.89,3.04,,193.0,Moderate
Delhi,2015-06-30,53.79,109.92,8.54,46.06,108.22,41.11,1.05,9.15,58.33,1.16,4.92,,170.0,Moderate
Delhi,2015-07-01,57.99,135.43,8.88,49.64,103.97,40.5,1.06,8.88,61.42,1.62,6.78,,185.0,Moderate
Delhi,2015-07-02,67.12,175.9,12.29,52.45,110.32,39.09,1.12,6.86,61.7,1.61,5.71,,220.0,Poor
Delhi,2015-07-03,65.25,219.31,19.11,37.09,64.79,37.32,0.99,8.91,59.66,1.29,3.34,,225.0,Poor
Delhi,2015-07-04,88.75,212.16,20.9,35.54,45.93,61.61,0.98,7.24,56.61,0.85,1.81,,250.0,Poor
Delhi,2015-07-05,135.92,435.2,19.63,36.89,49.31,64.99,1.17,6.42,58.36,1.04,2.73,,282.0,Poor
Delhi,2015-07-06,60.27,143.86,15.17,44.07,109.71,38.68,1.1,7.91,58.07,1.08,3.78,,298.0,Poor
Delhi,2015-07-07,52.2,78.64,12.97,51.7,109.52,42.09,1.34,7.82,53.72,1.79,6.76,,175.0,Moderate
Delhi,2015-07-08,67.92,127.38,11.17,52.69,131.9,42.84,1.17,7.94,53.94,2.24,8.08,,217.0,Poor
Delhi,2015-07-09,65.95,128.93,25.82,53.39,152.12,48.61,1.4,7.86,42.58,2.8,9.57,,234.0,Poor
Delhi,2015-07-10,47.68,95.1,26.94,46.71,173.98,53.64,1.26,8.97,35.79,2.24,9.43,,188.0,Moderate
Delhi,2015-07-11,29.08,41.31,31.49,51.39,254.8,42.6,7.23,8.61,54.03,2.04,8.46,,253.0,Poor
Delhi,2015-07-12,32.29,34.16,12.34,32.77,117.79,48.01,1.27,7.15,40.41,2.18,6.13,,198.0,Moderate
Delhi,2015-07-13,36.68,54.36,12.21,37.71,105.59,41.83,1.3,8.11,37.7,1.96,6.02,,148.0,Moderate
Delhi,2015-07-14,44.48,112.83,13.94,43.46,94.25,49.32,1.3,8.04,46.71,1.88,6.34,,141.0,Moderate
Delhi,2015-07-15,63.79,243.97,30.37,38.05,89.67,44.18,1.07,9.62,52.2,1.41,4.49,,218.0,Poor
Delhi,2015-07-16,77.2,244.69,22.06,36.72,102.35,31.83,1.02,10.29,72.44,1.11,4.61,,268.0,Poor
Delhi,2015-07-17,77.99,148.95,13.99,42.07,128.36,40.17,1.88,12.46,61.43,1.95,7.66,,232.0,Poor
Delhi,2015-07-18,71.11,148.87,24.83,48.79,149.07,42.26,1.84,10.77,56.32,3.78,14.23,,204.0,Poor
Delhi,2015-07-19,67.39,144.11,23.65,52.87,155.27,42.68,1.28,10.4,59.05,2.6,10.15,,220.0,Poor
Delhi,2015-07-20,49.58,83.22,16.89,62.37,196.68,41.37,1.24,10.17,61.55,1.82,7.33,,223.0,Poor
Delhi,2015-07-21,40.97,78.76,12.25,46.3,151.32,38.36,1.14,12.19,46.98,2.04,8.56,,218.0,Poor
Delhi,2015-07-22,38.97,85.89,19.43,41.41,132.19,36.49,2.73,20.43,44.49,5.82,16.67,,165.0,Moderate
Delhi,2015-07-23,34.02,81.25,11.59,39.98,116.55,33.95,2.42,16.71,49.72,7.2,7.77,,155.0,Moderate
